Path,AOM,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Edge_Value,Synonym,Description,Notes,Example Units,Ontology,Agrovoc,Group,Scientific Name,NCBI,Sex,ERA.Field,ERA_Code,C or E,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component,CPC_Code_Product_Match,CPC_Code_Component_Match,Ani_Diet_Spp_Syn,Is_Ani_Diet_Ingredient,ilri_code,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena leucocephala/Leucaena leucocephala Leaves/Leucaena leucocephala Leaves Dried Ensiled,AOM_001671,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena leucocephala,Leucaena leucocephala Leaves,Leucaena leucocephala Leaves Dried Ensiled,Leucaena leucocephala Leaves Dried Ensiled,Leucaena leucocephala Leaves Dried Silage;Leucaena glauca Leaves Dried Silage,,,,,http://aims.fao.org/aos/agrovoc/c_15843,,Leucaena leucocephala,http://purl.obolibrary.org/obo/NCBITaxon_3866,,,,,wfo-0000164084,No match,No match,01919.9,,Other forage products,Leucaena leucocephala Leaves,No Match,FEED0062,,,Leucaena leucocephala Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena leucocephala/Leucaena leucocephala Leaves/Leucaena leucocephala Leaves Dried Ground,AOM_001974,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena leucocephala,Leucaena leucocephala Leaves,Leucaena leucocephala Leaves Dried Ground,Leucaena leucocephala Leaves Dried Ground,Leucaena leucocephala Leaves Dried Meal;Leucaena leucocephala Leaves Dried Milled;Leucaena glauca Leaves Dried Meal;Leucaena glauca Leaves Dried Milled,,,,,http://aims.fao.org/aos/agrovoc/c_15843,,Leucaena leucocephala,http://purl.obolibrary.org/obo/NCBITaxon_3866,,,,,wfo-0000164084,No match,No match,01919.9,,Other forage products,Leucaena leucocephala Leaves,No Match,FEED0062,,,Leucaena leucocephala Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena leucocephala/Leucaena leucocephala Leaves/Leucaena leucocephala Leaves Ground,AOM_001973,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena leucocephala,Leucaena leucocephala Leaves,Leucaena leucocephala Leaves Ground,Leucaena leucocephala Leaves Ground,Leucaena leucocephala Leaves Meal;Leucaena leucocephala Leaves Milled;Leucaena glauca Leaves Meal;Leucaena glauca Leaves Milled,,,,,http://aims.fao.org/aos/agrovoc/c_15843,,Leucaena leucocephala,http://purl.obolibrary.org/obo/NCBITaxon_3866,,,,,wfo-0000164084,No match,No match,01919.9,,Other forage products,Leucaena leucocephala Leaves,No Match,FEED0062,,,Leucaena leucocephala Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena leucocephala/Leucaena leucocephala Leaves/Leucaena leucocephala Leaves Ground,AOM_006381,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena leucocephala,Leucaena leucocephala Leaves,Leucaena leucocephala Leaves Wilted,Leucaena leucocephala Leaves Wilted,,,,,,http://aims.fao.org/aos/agrovoc/c_15843,,Leucaena leucocephala,http://purl.obolibrary.org/obo/NCBITaxon_3866,,,,,wfo-0000164084,No match,No match,01919.9,,Other forage products,Leucaena leucocephala Leaves,No Match,FEED0062,,,Leucaena leucocephala Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena leucocephala/Leucaena leucocephala Leaves,AOM_001672,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena leucocephala,Leucaena leucocephala Leaves,,Leucaena leucocephala Leaves,,,,,,,,Leucaena leucocephala,http://purl.obolibrary.org/obo/NCBITaxon_3866,,,,,wfo-0000164084,No match,No match,01919.9,,Other forage products,Leucaena leucocephala Leaves,Leucaena leucocephala Leaves,FEED0062,,,Leucaena leucocephala Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena leucocephala/Leucaena leucocephala Wilted,AOM_001668,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena leucocephala,Leucaena leucocephala Wilted,,Leucaena leucocephala Wilted,Leucaena glauca Wilted,,,,,http://aims.fao.org/aos/agrovoc/c_15843,,Leucaena leucocephala,http://purl.obolibrary.org/obo/NCBITaxon_3866,,,,,wfo-0000164084,No match,No match,01919.9,,Other forage products,Leucaena leucocephala,No Match,FEED0062,,,Leucaena leucocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena pallida,AOM_001771,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena pallida,,,Leucaena pallida,,,,,,http://aims.fao.org/aos/agrovoc/c_15843,,Leucaena pallida,http://purl.obolibrary.org/obo/NCBITaxon_190754 ,,,,,wfo-0000192527,No match,No match,01919.9,,Other forage products,Leucaena pallida,Leucaena pallida,FEED0062,,,Leucaena pallida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena pallida/Leucaena pallida Dried,AOM_001775,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena pallida,Leucaena pallida Dried,,Leucaena pallida Dried,,,,,,,,Leucaena pallida,http://purl.obolibrary.org/obo/NCBITaxon_190754 ,,,,,wfo-0000192527,No match,No match,01919.9,,Other forage products,Leucaena pallida,No Match,FEED0061,,,Leucaena pallida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena pallida/Leucaena pallida Leaves/Leucaena pallida Leaves Dried,AOM_001770,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena pallida,Leucaena pallida Leaves,Leucaena pallida Leaves Dried,Leucaena pallida Leaves Dried,,,,,,http://aims.fao.org/aos/agrovoc/c_15843,,Leucaena pallida,http://purl.obolibrary.org/obo/NCBITaxon_190754 ,,,,,wfo-0000192527,No match,No match,01919.9,,Other forage products,Leucaena pallida Leaves,No Match,FEED0061,,,Leucaena pallida Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena pallida/Leucaena pallida Leaves,AOM_001769,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Leucaena pallida,Leucaena pallida Leaves,,Leucaena pallida Leaves,,,,,,,,Leucaena pallida,http://purl.obolibrary.org/obo/NCBITaxon_190754 ,,,,,wfo-0000192527,No match,No match,01919.9,,Other forage products,Leucaena pallida Leaves,Leucaena pallida Leaves,FEED0061,,,Leucaena pallida Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Millettia ferruginea/Millettia ferruginea Wilted,AOM_006135,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Millettia ferruginea,Millettia ferruginea Wilted,,Millettia ferruginea Wilted,Birrbirra Wilted; Derassana Wilted,,,,,,,"
Millettia ferruginea",http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0000199980,No match,No match,01919.9,,Other forage products,"
Millettia ferruginea",No Match,No match,,,"
Millettia ferruginea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Millettia ferruginea,AOM_003909,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Millettia ferruginea,,,Millettia ferruginea,Birrbirra; Derassana,,,,,,,"
Millettia ferruginea",http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0000199980,No match,No match,01919.9,,Other forage products,"
Millettia ferruginea",Millettia ferruginea,FEED0061,,,"
Millettia ferruginea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Dried,AOM_001696,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Dried,,Moringa oleifera Dried,,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera,No Match,No Match,,,Moringa oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Dried Ground,AOM_001976,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Dried Ground,,Moringa oleifera Dried Ground,Moringa oleifera Dried Meal;Moringa oleifera Dried Milled,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera,No Match,FEED0047,,,Moringa oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Ensiled,AOM_001711,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Ensiled,,Moringa oleifera Ensiled,Moringa oleifera Silage,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera,No Match,FEED0047,,,Moringa oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Dried,AOM_006204,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Ground,,Moringa oleifera Ground,,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera,No Match,No Match,,,Moringa oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves,AOM_003903,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Leaves,,Moringa oleifera Leaves,,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,https://www.feedipedia.org/node/12344,No match,01919.9,,Other forage products,Moringa oleifera Leaves,Moringa oleifera Leaves,FEED0047,,,Moringa oleifera Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves /Moringa oleifera Leaves Dried Ground,AOM_001913,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Leaves ,Moringa oleifera Leaves Dried Ground,Moringa oleifera Leaves Dried Ground,Moringa oleifera Leaves Dried Meal;Moringa oleifera Leaves Dried Milled;Moringa pterygosperma Leaves Dried Meal;Moringa pterygosperma Leaves Dried Milled,Moringa oleifera,https://www.feedipedia.org/node/124,NA,Moringa oleifera Leaves Meal,,No Match,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735 ,,,,,wfo-0001085051,https://www.feedipedia.org/node/19833,No match,01919.9,,Other forage products,Moringa oleifera Leaves,No Match,FEED0132,,,Moringa oleifera Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves /Moringa oleifera Leaves Ground,AOM_000711,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Leaves ,Moringa oleifera Leaves Ground,Moringa oleifera Leaves Ground,Moringa oleifera Leaves Meal;Moringa oleifera Leaves Milled;Moringa pterygosperma Leaves Meal;Moringa pterygosperma Leaves Milled,,,,,http://aims.fao.org/aos/agrovoc/c_24664,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,https://www.feedipedia.org/node/19833,No match,01919.9,,Other forage products,Moringa oleifera Leaves,No Match,FEED0172,,,Moringa oleifera Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves Extract,AOM_006227,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Leaves Extract,Moringa oleifera Leaves Extract Dried Ground,Moringa oleifera Leaves Extract Dried Ground,,,,,,http://aims.fao.org/aos/agrovoc/c_24664,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera Leaves Extract,No Match,No match,,,Moringa oleifera Leaves Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves Extract,AOM_001979,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Leaves Extract,,Moringa oleifera Leaves Extract,,,,,,http://aims.fao.org/aos/agrovoc/c_24664,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera Leaves Extract,Moringa oleifera Leaves Extract,FEED0172,,,Moringa oleifera Leaves Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Root Bark/Moringa oleifera Root Bark Dried Ground,AOM_001978,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Root Bark,Moringa oleifera Root Bark Dried Ground,Moringa oleifera Root Bark Dried Ground,Moringa oleifera Root Bark Dried Meal;Moringa oleifera Root Bark Dried Milled;Moringa pterygosperma Root Bark Dried Meal;Moringa pterygosperma Root Bark Dried Milled,,,,,http://aims.fao.org/aos/agrovoc/c_24664,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera Root Bark,No Match,No Match,,,Moringa oleifera Root Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Seed/Moringa oleifera Seed Dried Ground,AOM_006343,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Seed,Moringa oleifera Seed Cake Ground,Moringa oleifera Seed Cake Ground,,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,No match,,,Moringa oleifera Seed Cake,No Match,No Match,,,Moringa oleifera Seed Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Seed/Moringa oleifera Seed Dried Ground,AOM_006136,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Seed,Moringa oleifera Seed Dried Ground,Moringa oleifera Seed Dried Ground,,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,No match,,,Moringa oleifera Seed,No Match,No Match,,,Moringa oleifera Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Stalks/Moringa oleifera Stalks Dried Ground,AOM_006341,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Seed,Moringa oleifera Seed Oil,Moringa oleifera Seed Oil,,,,,,http://aims.fao.org/aos/agrovoc/c_24664,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera Seed Oil,Moringa oleifera Seed Oil,No Match,,,Moringa oleifera Seed Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Seed,AOM_003971,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Seed,,Moringa oleifera Seed,,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,No match,,,Moringa oleifera Seed,Moringa oleifera Seed,No Match,,,Moringa oleifera Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Stalks/Moringa oleifera Stalks Dried Ground,AOM_001977,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,Moringa oleifera Stalks,Moringa oleifera Stalks Dried Ground,Moringa oleifera Stalks Dried Ground,Moringa oleifera Stalks Dried Meal;Moringa oleifera Stalks Dried Milled;Moringa pterygosperma Stalks Dried Meal;Moringa pterygosperma Stalks Dried Milled,,,,,http://aims.fao.org/aos/agrovoc/c_24664,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,No match,No match,01919.9,,Other forage products,Moringa oleifera Stalks,No Match,No Match,,,Moringa oleifera Stalks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa oleifera,AOM_001152,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa oleifera,,,Moringa oleifera,,,,,,,,Moringa oleifera,http://purl.obolibrary.org/obo/NCBITaxon_3735,,,,,wfo-0001085051,https://www.feedipedia.org/node/124,No match,01919.9,,Other forage products,Moringa oleifera,Moringa oleifera,No Match,,,Moringa oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa stenopetala/Moringa stenopetala Dried,AOM_001792,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa stenopetala,Moringa stenopetala Dried,,Moringa stenopetala Dried,,,,,,,,Moringa stenopetala,http://purl.obolibrary.org/obo/NCBITaxon_161034,,,,,wfo-0001085058,No match,No match,01919.9,,Other forage products,Moringa stenopetala,No Match,FEED0047,,,Moringa stenopetala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa stenopetala/Moringa stenopetala Leaves/Moringa stenopetala Leaves Dried,AOM_006137,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa stenopetala,Moringa stenopetala Leaves,Moringa stenopetala Leaves Dried,Moringa stenopetala Leaves Dried,,,,,,,,Moringa stenopetala,http://purl.obolibrary.org/obo/NCBITaxon_161034,,,,,wfo-0001085058,No match,No match,01919.9,,Other forage products,Moringa stenopetala Leaves,No Match,FEED0048,,,Moringa stenopetala Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa stenopetala/Moringa stenopetala Leaves/Moringa stenopetala Leaves Dried Ground,AOM_001980,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa stenopetala,Moringa stenopetala Leaves,Moringa stenopetala Leaves Dried Ground,Moringa stenopetala Leaves Dried Ground,Moringa stenopetala Leaves Dried Meal;Moringa stenopetala Leaves Dried Milled,,,,,,,Moringa stenopetala,http://purl.obolibrary.org/obo/NCBITaxon_161034,,,,,wfo-0001085058,No match,No match,01919.9,,Other forage products,Moringa stenopetala Leaves,No Match,FEED0048,,,Moringa stenopetala Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Moringa stenopetala,AOM_001791,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Forage Plants,Forage Trees,Moringa stenopetala,,,Moringa stenopetala,,,,,,,,Moringa stenopetala,http://purl.obolibrary.org/obo/NCBITaxon_161034,,,,,wfo-0001085058,No match,No match,01919.9,,Other forage products,Moringa stenopetala,Moringa stenopetala,No Match,,,Moringa stenopetala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
